0	13419   0      0      0     0
1	13412   12969  0      13308 13287
2	13435   12971  13342  13322 13308
3	13406   13449  14246  14236 14585
4	13484   13030  13397  13382 13364
5	13446   13020  13357  13339 13321
6	13386   12945  13298  13288 13267
7	13658   13148  13565  0     0
8	13117   13217  13955  13990 14375
9	13441   13832  15120  15137 16069
10	13326   13294  14123  14126 14588
11	13773   13784  14571  14584 15054
12	13146   13124  13949  13888 14307
13	13659   13641  14499  14426 14806
14	13632   14455  16224  16144 17483
15	13331   13347  14051  14064 14559
16	13209   12810  13129  13121 13102
17	13638   14045  15228  15415 16371
18	13197   13108  13946  13871 14254
19	13466   13443  14184  14248 14618
20	13201   13252  14114  13974 14357
21	13479   14350  16034  16091 17342
22	13636   13199  13529  13516 13488
23	13530   13402  14209  14183 14604
24	13411   13434  14277  14155 14530
25	13399   13004  13330  13317 13314
26	13276   13656  14931  14953 15899
27	13355   14272  16001  16112 17399
28	13254   13731  15075  14947 15860
29	13480   13038  13374  13353 0
30	13306   12879  13216  13192 13184
31	13624   13573  14408  14465 14883
